row,score,session,subject,group,group_c,session_c
1,2,"posttest",5,"control",-0.5,0.5
2,3,"posttest",54,"perturbation",0.5,0.5
3,6.5,"posttest",46,"perturbation",0.5,0.5
4,5,"pretest",52,"perturbation",0.5,-0.5
5,10,"posttest",13,"control",-0.5,0.5
6,5,"posttest",26,"perturbation",0.5,0.5
7,4,"posttest",3,"control",-0.5,0.5
8,14,"pretest",13,"control",-0.5,-0.5
9,4,"posttest",48,"perturbation",0.5,0.5
10,1.5,"posttest",31,"control",-0.5,0.5
11,5.5,"pretest",3,"control",-0.5,-0.5
12,10.5,"pretest",30,"perturbation",0.5,-0.5
13,3,"posttest",45,"control",-0.5,0.5
14,0,"posttest",26,"perturbation",0.5,0.5
15,2,"pretest",52,"perturbation",0.5,-0.5
16,11,"pretest",1,"control",-0.5,-0.5
17,0,"pretest",53,"control",-0.5,-0.5
18,3,"pretest",41,"control",-0.5,-0.5
19,4,"pretest",14,"perturbation",0.5,-0.5
20,1,"posttest",30,"perturbation",0.5,0.5
21,1,"pretest",51,"control",-0.5,-0.5
22,4,"pretest",8,"perturbation",0.5,-0.5
23,0.5,"pretest",34,"perturbation",0.5,-0.5
24,0.5,"posttest",40,"perturbation",0.5,0.5
25,3.5,"posttest",29,"control",-0.5,0.5
26,5,"pretest",48,"perturbation",0.5,-0.5
27,1.5,"posttest",24,"perturbation",0.5,0.5
28,9,"pretest",11,"control",-0.5,-0.5
29,1,"posttest",51,"control",-0.5,0.5
30,2,"pretest",5,"control",-0.5,-0.5
31,1.5,"pretest",45,"control",-0.5,-0.5
32,0,"posttest",8,"perturbation",0.5,0.5
33,3,"posttest",21,"control",-0.5,0.5
34,1,"posttest",25,"control",-0.5,0.5
35,4,"posttest",11,"control",-0.5,0.5
36,5,"pretest",19,"control",-0.5,-0.5
37,6,"posttest",48,"perturbation",0.5,0.5
38,3,"pretest",5,"control",-0.5,-0.5
39,0,"posttest",34,"perturbation",0.5,0.5
40,4,"posttest",48,"perturbation",0.5,0.5
41,5.5,"posttest",42,"perturbation",0.5,0.5
42,1,"pretest",44,"perturbation",0.5,-0.5
43,12,"pretest",1,"control",-0.5,-0.5
44,1,"posttest",44,"perturbation",0.5,0.5
45,7,"posttest",43,"control",-0.5,0.5
46,1,"posttest",40,"perturbation",0.5,0.5
47,5,"posttest",13,"control",-0.5,0.5
48,2.5,"pretest",48,"perturbation",0.5,-0.5
49,6,"posttest",28,"perturbation",0.5,0.5
50,5.5,"pretest",4,"perturbation",0.5,-0.5
51,2,"pretest",53,"control",-0.5,-0.5
52,7.5,"posttest",52,"perturbation",0.5,0.5
53,3,"posttest",38,"perturbation",0.5,0.5
54,4,"posttest",36,"perturbation",0.5,0.5
55,3,"pretest",44,"perturbation",0.5,-0.5
56,7,"pretest",23,"control",-0.5,-0.5
57,11,"pretest",42,"perturbation",0.5,-0.5
58,5,"posttest",21,"control",-0.5,0.5
59,1.5,"posttest",35,"control",-0.5,0.5
60,2.5,"pretest",4,"perturbation",0.5,-0.5
61,1,"posttest",43,"control",-0.5,0.5
62,1.5,"pretest",21,"control",-0.5,-0.5
63,2.5,"posttest",48,"perturbation",0.5,0.5
64,4,"posttest",1,"control",-0.5,0.5
65,7,"posttest",50,"perturbation",0.5,0.5
66,8,"posttest",4,"perturbation",0.5,0.5
67,6,"pretest",6,"perturbation",0.5,-0.5
68,2,"pretest",16,"control",-0.5,-0.5
69,2,"pretest",52,"perturbation",0.5,-0.5
70,2,"pretest",40,"perturbation",0.5,-0.5
71,1,"posttest",24,"perturbation",0.5,0.5
72,10,"posttest",39,"control",-0.5,0.5
73,5,"pretest",27,"control",-0.5,-0.5
74,0,"posttest",46,"perturbation",0.5,0.5
75,3,"posttest",22,"perturbation",0.5,0.5
76,2,"pretest",12,"perturbation",0.5,-0.5
77,8,"pretest",39,"control",-0.5,-0.5
78,5,"pretest",10,"perturbation",0.5,-0.5
79,7,"posttest",6,"perturbation",0.5,0.5
80,6,"pretest",19,"control",-0.5,-0.5
81,1,"pretest",37,"control",-0.5,-0.5
82,2,"posttest",17,"control",-0.5,0.5
83,6,"pretest",13,"control",-0.5,-0.5
84,1,"posttest",32,"perturbation",0.5,0.5
85,2,"posttest",27,"control",-0.5,0.5
86,1,"posttest",17,"control",-0.5,0.5
87,2,"pretest",38,"perturbation",0.5,-0.5
88,7,"pretest",53,"control",-0.5,-0.5
89,3,"pretest",43,"control",-0.5,-0.5
90,9,"posttest",18,"perturbation",0.5,0.5
91,8,"pretest",41,"control",-0.5,-0.5
92,1,"posttest",15,"perturbation",0.5,0.5
93,1,"pretest",17,"control",-0.5,-0.5
94,2,"posttest",47,"control",-0.5,0.5
95,6,"pretest",6,"perturbation",0.5,-0.5
96,0,"pretest",17,"control",-0.5,-0.5
97,7.5,"posttest",29,"control",-0.5,0.5
98,1,"posttest",15,"perturbation",0.5,0.5
99,6,"pretest",9,"control",-0.5,-0.5
100,1,"posttest",35,"control",-0.5,0.5
